id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
f0e027ae7f810cc5;Esperesina;España;Muy buena ubicación y el mejor personal.Estuvimos muy bien en el hostal. Todo limpio y muy bien organizado, con una cocina y frigorífico para los huespédes, además de café y té. El personal que nos atendió nos dio todo tipo de consejos. Muy recomendable.Mejor no callejear con el coche hasta la puerta del hostal, puede ser complicado.;Habitación Doble con baño compartido;2 noches;agosto de 2022;En familia;2022-08-29
7204aa157bbde208;Elyse;Australia;Muy bien.;Habitación Individual con baño compartido;3 noches;agosto de 2022;Persona que viaja sola;2022-08-28
fe55e1082145e867;Rodolfo;Estados Unidos;Fantástico.;Habitación Doble con ducha;1 noche;junio de 2022;Persona que viaja sola;2022-08-28
35e0971823a5e1bc;Anónimo;Italia;Fantástico.;;2 noches;agosto de 2022;En pareja;2022-08-28
e9ac1aa98eb4c627;Samia;Reino Unido;"The location was within reach of all Cadiz attractions . The cathedral the museum and the lovely squares. The staff was polite and friendly. The room was nice however there was one window overlooking the landing so hardly any natural light. Also I was not very keen to shared toilets. The Pension  should have had more toilets for the amount of rooms that they were renting. On a positive note I really liked the cakes and coffee and teas made available to guests as well as the kitchen and the fridge.";Habitación Doble con ducha;2 noches;agosto de 2022;Persona que viaja sola;2022-08-27
655cd70d25ce3bdf;Mariló;España;Maravilloso.el trato con el personal, y que no faltaba de nada.por decir algo, que no tiene Parquing, aunque cerca hay uno.;Habitación Doble con baño privado - 2 camas;1 noche;agosto de 2022;En grupo;2022-08-27
bd16fb5ae8563897;Brenda;Argentina;Excepcional.;Habitación Doble con baño compartido;2 noches;agosto de 2022;En familia;2022-08-26
76c5d13ca0239897;Alexander;España;Buena ubicación!.La ubicación.Las camas inestables y el colchón de muy mala calidad, se hacía un hueco que estabas durmiendo prácticamente en la estructura de la base. La atención por una parte del personal deja mucho que desear, falta que den información al hacer el check in, como por ejemplo: que no hay servicio a la habitación, algo que no supimos hasta que volvimos el primer día y la habitación estaba tal cual la dejamos, las toallas deben de poner un punto en el cual las personas puedan dejar las usadas y tomar una nueva ya que no hay nadie que te pueda ayudar fuera de su horario de trabajo.;Habitación Doble con baño compartido - 2 camas;3 noches;agosto de 2022;En pareja;2022-08-26
82ae970eaa9eee40;Jose;España;Fantástico.;Habitación Doble con baño compartido;3 noches;agosto de 2022;En pareja;2022-08-25
f59b1fd1adef2ae1;Anónimo;España;Aceptable.;;4 noches;julio de 2022;Persona que viaja sola;2022-08-25
b6e75e0397fec003;Anónimo;España;"Excepcional.La habitación muy bonita y fresquita y las camas eran muy
cómodas. 
Muy céntrico y la chica de recepción muy atenta 
y agradable.";;2 noches;agosto de 2022;En grupo;2022-08-24
48adf7895a0faebe;Michela;Italia;Muy bien.;Habitación Doble con baño privado - 2 camas;1 noche;agosto de 2022;En pareja;2022-08-24
1980eaca1224fed2;Danielle;Bélgica;"Très bien située
La possibilité de se faire du café.";Habitación Individual con baño compartido;2 noches;agosto de 2022;Persona que viaja sola;2022-08-23
cd58810169c64da2;Antonio;España;Fantástico.;Habitación Doble con ducha;1 noche;agosto de 2022;En familia;2022-08-23
77888698494aadde;Luis;Portugal;Muy bien.;Habitación Doble con ducha - 2 camas;7 noches;agosto de 2022;En pareja;2022-08-22
